target_contact_id,subordinate_contact_id
FFC08548-5438-ED11-9DB1-0022489CA4D1,487A2B15-5F38-ED11-9DB1-0022489CA4D1
B4B456A4-7938-ED11-9DB1-0022489CA4D1,086BC5E4-5138-ED11-9DB1-0022489CA4D1
B4B456A4-7938-ED11-9DB1-0022489CA4D1,55272CAB-7638-ED11-9DB1-0022489CA4D1
4C6BB0D4-7B38-ED11-9DB1-0022489CA4D1,E4991A25-4C38-ED11-9DB1-0022489CA4D1
4C6BB0D4-7B38-ED11-9DB1-0022489CA4D1,9EAFD8E9-5938-ED11-9DB1-0022489CA4D1
079D570E-6F38-ED11-9DB1-0022489CA4D1,9E8DED01-6738-ED11-9DB1-0022489CA4D1
AE73C98B-6A38-ED11-9DB1-0022489CA4D1,638FAEEE-4338-ED11-9DB1-0022489CA4D1
E4A8B5D8-5D38-ED11-9DB1-0022489CA4D1,FBD90E5A-6C38-ED11-9DB1-0022489CA4D1
E4A8B5D8-5D38-ED11-9DB1-0022489CA4D1,F9657F5E-7538-ED11-9DB1-0022489CA4D1
E4A8B5D8-5D38-ED11-9DB1-0022489CA4D1,179BBAE4-7E38-ED11-9DB1-0022489CA4D1
5562F3A4-7E38-ED11-9DB1-0022489CA4D1,671BABAD-7A38-ED11-9DB1-0022489CA4D1
F232973C-6838-ED11-9DB1-0022489CA4D1,ECF94080-7B38-ED11-9DB1-0022489CA4D1
F232973C-6838-ED11-9DB1-0022489CA4D1,684C3911-7D38-ED11-9DB1-0022489CA4D1
F232973C-6838-ED11-9DB1-0022489CA4D1,603C021E-7E38-ED11-9DB1-0022489CA4D1
F232973C-6838-ED11-9DB1-0022489CA4D1,D16DBD7A-7F38-ED11-9DB1-0022489CA4D1
D69BF1CD-7C38-ED11-9DB1-0022489CA4D1,79F655FA-5B38-ED11-9DB1-0022489CA4D1
B47D12D0-4F38-ED11-9DB1-0022489CA4D1,CDA8B5D8-5D38-ED11-9DB1-0022489CA4D1
B47D12D0-4F38-ED11-9DB1-0022489CA4D1,03564509-7538-ED11-9DB1-0022489CA4D1
6A2B5E30-7D38-ED11-9DB1-0022489CA4D1,5316D2E3-5938-ED11-9DB1-0022489CA4D1
6A2B5E30-7D38-ED11-9DB1-0022489CA4D1,E89C570E-6F38-ED11-9DB1-0022489CA4D1
D7007A43-7E38-ED11-9DB1-0022489CA4D1,7D2DD185-6A38-ED11-9DB1-0022489CA4D1
D7007A43-7E38-ED11-9DB1-0022489CA4D1,4B539F63-7438-ED11-9DB1-0022489CA4D1
D7007A43-7E38-ED11-9DB1-0022489CA4D1,2334E1BA-7438-ED11-9DB1-0022489CA4D1
D7007A43-7E38-ED11-9DB1-0022489CA4D1,A09D97EE-7638-ED11-9DB1-0022489CA4D1
D7007A43-7E38-ED11-9DB1-0022489CA4D1,4B9CD29A-7838-ED11-9DB1-0022489CA4D1
D7007A43-7E38-ED11-9DB1-0022489CA4D1,14BDBC89-7A38-ED11-9DB1-0022489CA4D1
D7007A43-7E38-ED11-9DB1-0022489CA4D1,CAC17067-7C38-ED11-9DB1-0022489CA4D1
D7007A43-7E38-ED11-9DB1-0022489CA4D1,86B08A97-7D38-ED11-9DB1-0022489CA4D1
BECCDFFB-6638-ED11-9DB1-0022489CA4D1,F541D0DD-5938-ED11-9DB1-0022489CA4D1
BECCDFFB-6638-ED11-9DB1-0022489CA4D1,250DB201-5F38-ED11-9DB1-0022489CA4D1
6FE82D53-7A38-ED11-9DB1-0022489CA4D1,3359AC85-6438-ED11-9DB1-0022489CA4D1
6FE82D53-7A38-ED11-9DB1-0022489CA4D1,56893DAD-7238-ED11-9DB1-0022489CA4D1
6FE82D53-7A38-ED11-9DB1-0022489CA4D1,6972D775-7738-ED11-9DB1-0022489CA4D1
582B5E30-7D38-ED11-9DB1-0022489CA4D1,F1FF4C03-7538-ED11-9DB1-0022489CA4D1
C9DC482B-8438-ED11-9DB1-0022489CA4D1,1690EAE9-8238-ED11-9DB1-0022489CA4D1
C9DC482B-8438-ED11-9DB1-0022489CA4D1,2290EAE9-8238-ED11-9DB1-0022489CA4D1
